"","label","latitude","longitude"
"11","AE005",25.48,53.13
"10","AE006",25.48,53.13
"7","AE888",25.48,53.13
"5","AEAJM",25.48,53.13
"3","AEAUH",25.48,53.13
"9","AEDXB",25.48,53.13
"2","AEFJR",25.48,53.13
"8","AEJEA",25.48,53.13
"12","AEJED",25.48,53.13
"6","AEKLF",25.48,53.13
"1","AERKT",25.48,53.13
"4","AERUW",25.48,53.13
"13","AESHJ",25.48,53.13
"14","AFXXX",32.87,66.05
"15","AG888",17.64144,-61.82788
"16","AGBBQ",17.64144,-61.82788
"17","ALDRZ",40.12,20.22
"19","AN888",12.19427,-69.0259
"22","ANAUA",12.19427,-69.0259
"21","ANBON",12.19427,-69.0259
"18","ANCUR",12.19427,-69.0259
"20","ANPHI",12.19427,-69.0259
"23","AOAZZ",-6.07,11.35
"26","AOLAD",-6.07,11.35
"25","AOLOB",-6.07,11.35
"24","AOMSZ",-6.07,11.35
"27","AOSZA",-6.07,11.35
"28","AQ888",-73.05,-13.42
"40","AR005",-34.97,-58.08
"36","AR006",-34.97,-58.08
"48","AR888",-34.97,-58.08
"35","ARBHI",-34.97,-58.08
"34","ARBUE",-34.97,-58.08
"39","ARCMP",-34.97,-58.08
"37","ARCNQ",-34.97,-58.08
"44","ARLPG",-34.97,-58.08
"29","ARLPS",-34.97,-58.08
"49","ARMDQ",-34.97,-58.08
"30","ARNEC",-34.97,-58.08
"42","AROYA",-34.97,-58.08
"45","ARPMY",-34.97,-58.08
"46","ARQQN",-34.97,-58.08
"50","ARRGA",-34.97,-58.08
"31","ARROS",-34.97,-58.08
"38","ARSLO",-34.97,-58.08
"47","ARSNS",-34.97,-58.08
"32","ARSPD",-34.97,-58.08
"43","ARSSN",-34.97,-58.08
"33","ARUSH",-34.97,-58.08
"41","ARZAE",-34.97,-58.08
"751","AT4ST",47.38,11.28
"752","AT6KS",46.85,15.6
"753","AT6NR",48.35,14.42
"754","AT6TA",48,14.73
"755","AT7PZ",48.2,15.52
"756","AT7ST",47.37,11.83
"757","AT7TA",47.3,11.13
"758","AT8HN",48.07,14.67
"759","ATA9Z",48.43,15.98
"760","ATABC",46.75,12.53
"761","ATABG",48.08,16.43
"762","ATABK",47.73,-12.5
"763","ATABM",48.07,14.75
"764","ATABS",47.3,11.5
"765","ATABT",47.55,13.35
"766","ATABU",47.4,9.88
"767","ATACH",46.58,14.03
"768","ATACK",47.52,11.7
"769","ATADD",48.22,14.57
"770","ATADG",48.17,14.82
"771","ATADO",47.57,14.45
"772","ATADS",48,14.33
"773","ATADU",47.77,17.03
"774","ATAED",47.83,15.58
"775","ATAFR",46.72,13.8
"776","ATAGG",48.28,15.42
"777","ATAGM",48.3,15.4
"778","ATAGZ",48.37,14.33
"779","ATAHI",48.25,13.23
"780","ATAHO",46.87,14.48
"781","ATAHZ",48.52,13.73
"782","ATAIG",48.63,13.95
"783","ATAIN",48.5,13.9
"784","ATAKV",48.28,14.1
"785","ATAL4",48.33,16.23
"786","ATAL9",47.4,11.95
"787","ATALB",47.87,16.98
"788","ATALE",48.68,15.32
"789","ATALH",46.9,15.55
"790","ATALK",47.37,13.42
"791","ATALL",48.15,14.17
"792","ATALT",47.15,14.23
"793","ATALZ",48.25,13.45
"794","ATAMS",48.67,16.53
"795","ATAMU",47.9,13.75
"796","ATAND",48.28,16.53
"797","ATANG",47.53,16.28
"798","ATANI",47.75,13.07
"799","ATANR",47.27,15.68
"800","ATANS",48.2,14.28
"801","ATANT",47.12,10.27
"802","ATAOT",46.55,13.7
"803","ATAPG",47.55,16.08
"804","ATAPT",47.75,16.83
"805","ATARB",48.07,16.7
"806","ATARG",47.87,13.02
"807","ATARI",48.22,14.7
"808","ATARN",47.98,14.12
"809","ATARO",47.12,15.68
"810","ATARV",46.77,14.82
"811","ATASC",48.37,14.03
"812","ATATB",48.08,13.7
"813","ATATG",48.15,15.92
"814","ATATH",47.35,9.65
"815","ATATK",46.7,13.63
"816","ATATN",48.22,14.4
"817","ATATP",48,13.72
"818","ATATS",47.63,13.77
"819","ATATT",48.12,14.87
"820","ATATZ",48.28,15.9
"821","ATAUE",47.58,13.77
"822","ATAWD",48.27,14.43
"823","ATAWG",47.98,14.22
"824","ATAWH",48.38,15.85
"825","ATAZX",47.5,14.1
"826","ATB7B",47.2,15.98
"827","ATB9G",47.02,15.5
"828","ATBAG",48.12,16.3
"829","ATBB9",47.22,16.4
"830","ATBBG",46.58,14.8
"831","ATBBN",47.93,16.72
"832","ATBDA",47.13,15.33
"833","ATBDG",48.13,16.9
"834","ATBDH",41.5,12.1
"835","ATBDN",48,16.23
"836","ATBDS",47.2,16.37
"837","ATBE8",47.82,13.22
"838","ATBES",47.83,13.02
"839","ATBFI",47.83,16.17
"840","ATBFL",48.52,14.28
"841","ATBFS",47.42,13.22
"842","ATBFW",48.13,16.15
"843","ATBGA",47.12,13.13
"844","ATBGH",46.7,15.58
"845","ATBGK",48.2,13.1
"846","ATBGM",47.63,13.62
"847","ATBGN",47.45,16.57
"848","ATBGT",48.22,14.73
"849","ATBGW",47.5,16.28
"850","ATBHK",48.23,14.02
"851","ATBHL",48.03,14.2
"852","ATBIB",47.73,16.5
"853","ATBIE",48.08,16.35
"854","ATBIS",48.33,16.35
"855","ATBKA",46.62,13.63
"856","ATBKB",46.68,15.98
"857","ATBKD",47.35,15.68
"858","ATBLU",47.15,9.82
"859","ATBMB",48.03,14.5
"860","ATBMF",47.55,13.92
"861","ATBND",47.1,9.73
"862","ATBNN",48.5,16.57
"863","ATBNT",48.13,14.98
"864","ATBOE",47.98,14.75
"865","ATBRA",48.25,13.03
"866","ATBRB",47.68,15.12
"867","ATBRD",48.53,15.32
"868","ATBRG",47.28,12.82
"869","ATBRH",47.73,16.2
"870","ATBRI",48.45,15.75
"871","ATBRN",47.33,14.98
"872","ATBRU",47.42,15.28
"873","ATBRZ",47.5,9.77
"874","ATBSB",47.77,16.33
"875","ATBSH",48.23,13.92
"876","ATBSL",46.95,14.78
"877","ATBSZ",48.08,13.8
"878","ATBTE",48.28,16.03
"879","ATBTH",48.25,13.97
"880","ATBTU",47.73,16.15
"881","ATBUC",48.12,15.03
"882","ATBUG",47.2,16.15
"883","ATBVL",47.95,16.22
"884","ATBVU",47.67,13.13
"885","ATBWA",48.5,16.07
"886","ATBWD",48.68,15.52
"887","ATBWN",48.07,13.9
"888","ATBXG",47.42,11.87
"889","ATBXT",47.45,12.25
"890","ATCH8",47.42,15
"891","ATD2L",48.27,13.4
"892","ATD4S",48.52,13.88
"893","ATDAM",47.28,9.88
"894","ATDBL",46.95,15.37
"895","ATDDT",46.73,13.07
"896","ATDER",48.43,15.68
"897","ATDEU",46.82,15.22
"898","ATDFC",48.35,14.45
"899","ATDFF",48.27,13.62
"900","ATDFL",47,15.47
"901","ATDIA",48.08,14.42
"902","ATDKZ",47.6,16.63
"903","ATDOF",48.45,15.72
"904","ATDOR",47.42,9.72
"905","ATDRA",48.75,-16.65
"906","ATDRF",48.28,13.62
"907","ATDRO",48.45,15.57
"908","ATDSH",47.2,9.78
"909","ATDSU",48.02,13.77
"910","ATDSZ",47.17,16.45
"911","ATDTD",48.08,14.42
"912","ATDUE",48.38,15.52
"913","ATDUR",48.47,16.85
"914","ATDWA",48.3,16.57
"915","ATEAJ",48.37,15.37
"916","ATEAK",48.43,15.73
"917","ATEBB",47.63,12.22
"918","ATEBD",47.2,15.95
"919","ATEBE",48.03,16.52
"920","ATEBN",47.63,16.08
"921","ATEBR",47.95,16.4
"922","ATEBS",47.8,13.77
"923","ATEBU",46.63,15.82
"924","ATEBZ",48.03,13.97
"925","ATECU",47.48,10.7
"926","ATEDZ",48.12,15.5
"927","ATEFH",47.87,16.37
"928","ATEFR",48.32,14.02
"929","ATEGB",48.07,12.98
"930","ATEGG",47.42,9.88
"931","ATEGL",47.33,13.33
"932","ATEGT",48.12,14.13
"933","ATEH7",47.4,10.92
"934","ATEHN",48.13,14.48
"935","ATEHR",46.72,15.57
"936","ATEIN",48.07,16.78
"937","ATEIT",47.83,16.53
"938","ATEKV",46.48,14.58
"939","ATELI",47.87,13.07
"940","ATELL",48.1,16.98
"941","ATEMM",48.23,15.33
"942","ATENO",48.2,14.47
"943","ATENZ",48.08,16.6
"944","ATEPD",48.33,15.9
"945","ATERF",46.58,14.63
"946","ATERG",47.5,12.03
"947","ATERL",47.67,12.17
"948","ATERM",47.47,15
"949","ATERO",48.45,15.88
"950","ATERP",47.57,12.47
"951","ATERR",48.6,16.82
"952","ATESB",48.55,13.57
"953","ATESG",47.8,13.18
"954","ATESN",47.13,14.73
"955","ATESW",48.15,13.57
"956","ATETE",48.37,16.38
"957","ATETH",48.58,16.23
"958","ATETL",48.43,16.78
"959","ATETN",46.8,14.55
"960","ATETZ",47.28,11.05
"961","ATEUG",47.87,13.12
"962","ATEWD",46.68,15.83
"963","ATEZF",47.92,16.18
"964","ATFAA",48.38,15.92
"965","ATFAS",47.8,13.3
"966","ATFAU",47.37,13.53
"967","ATFBB",47.48,12.55
"968","ATFBG",48.07,13.48
"969","ATFBN",48.43,15.78
