"","Destination","cd_lod_type","Source","Ms_Yr","Ms_Per","weightTon","transport_type"
"1","USNNS","3","DOMAN",2019,8,8797.44,"MAR"
"2","USNNS","9","BEANR",2018,4,5214.7,"MAR"
"3","SEYST","3","DKNAK",2018,12,3315.01,"MAR"
"4","ARSPD","1","USNNS",2018,10,5900.95,"MAR"
"5","SEYST","2","COTRB",2021,2,4860.51,"MAR"
"6","GHTEM","2","SEYST",2022,12,3781.04,"MAR"
"7","GBLOW","6","CRMOB",2022,6,7751.55,"MAR"
"8","GBSOU","3","CRMOB",2022,2,7775.18,"MAR"
"9","COTRB","3","GHTEM",2021,11,6175.69,"MAR"
"10","DKNAK","1","GBSOU",2020,10,3571.46,"MAR"
"11","ESSVQ","2","ESSVQ",2019,6,8095.42,"MAR"
"12","ARSPD","1","CMDLA",2022,9,2391.82,"MAR"
"13","GBSOU","6","DOMAN",2019,9,4459.09,"MAR"
"14","CMDLA","9","CMDLA",2018,10,7556.79,"MAR"
"15","GHTEM","1","CMDLA",2022,8,4004.37,"MAR"
"16","COTRB","9","BEANR",2020,5,1962.5,"MAR"
"17","DKNAK","2","GBLOW",2022,3,3586.62,"MAR"
"18","SEYST","3","COTRB",2019,10,9954.5,"MAR"
"19","COTRB","6","CIABJ",2022,9,8311.95,"MAR"
"20","CMDLA","6","CIABJ",2021,1,1286.54,"MAR"
"21","CRMOB","6","GBLOW",2022,10,3302.4,"MAR"
"22","CMDLA","9","ARSPD",2019,5,821.84,"MAR"
"23","CMDLA","2","CRMOB",2018,4,5304.55,"MAR"
"24","DOMAN","9","ARSPD",2019,7,6664.68,"MAR"
"25","SEYST","5","CRMOB",2022,8,1351.26,"MAR"
"26","CIABJ","1","DOMAN",2018,8,2589.2,"MAR"
"27","GHTEM","1","USNNS",2020,3,4843.36,"MAR"
"28","GBSSS","1","SEYST",2022,8,6349.92,"MAR"
"29","GHTEM","1","DKNAK",2018,12,5417.43,"MAR"
"30","CMDLA","3","BEANR",2021,7,7217.09,"MAR"
"31","ARSPD","5","GBSSS",2022,4,4565.45,"MAR"
"32","SEYST","9","GBSSS",2019,8,4017.52,"MAR"
"33","ESSVQ","2","GBSSS",2019,5,6288.71,"MAR"
"34","ARSPD","9","ESSVQ",2022,4,8823.12,"MAR"
"35","BEANR","3","CRMOB",2020,12,4569.11,"MAR"
"36","COTRB","6","GBLOW",2018,12,5323.62,"MAR"
"37","GBSSS","3","DKNAK",2019,5,4725.47,"MAR"
"38","DKNAK","2","CIABJ",2019,12,7811.94,"MAR"
"39","CRMOB","5","DOMAN",2022,1,8333.54,"MAR"
"40","USNNS","5","DOMAN",2022,8,5627.91,"MAR"
"41","GHTEM","3","GBSOU",2019,9,1168.02,"MAR"
"42","DOMAN","6","GBSOU",2020,10,9889.67,"MAR"
"43","GBSSS","6","CRMOB",2022,4,6587.08,"MAR"
"44","CMDLA","9","GBSSS",2019,6,1011.39,"MAR"
"45","CMDLA","1","CMDLA",2022,8,6852.77,"MAR"
"46","GHTEM","9","DKNAK",2020,9,388.31,"MAR"
"47","GBSSS","5","GBSSS",2021,6,6504.8,"MAR"
"48","COTRB","9","GBSOU",2020,1,4702.81,"MAR"
"49","CRMOB","5","BEANR",2022,10,7367.58,"MAR"
"50","DKNAK","9","DKNAK",2018,6,5443.93,"MAR"
"51","GBSSS","9","USNNS",2021,7,1801.86,"MAR"
"52","DKNAK","6","BEANR",2020,10,4657.21,"MAR"
"53","COTRB","2","SEYST",2021,10,2882.77,"MAR"
"54","GBSOU","3","SEYST",2018,7,1712.43,"MAR"
"55","CMDLA","9","USNNS",2022,1,3823.01,"MAR"
"56","GBLOW","3","BEANR",2022,12,7967.63,"MAR"
"57","DOMAN","3","ESSVQ",2021,8,9346.04,"MAR"
"58","DKNAK","3","USNNS",2022,11,5371.39,"MAR"
"59","CIABJ","1","SEYST",2021,12,2754.95,"MAR"
"60","CRMOB","6","CIABJ",2018,3,1652.57,"MAR"
"61","USNNS","5","CRMOB",2018,10,717.48,"MAR"
"62","DOMAN","2","ARSPD",2021,2,2216.76,"MAR"
"63","GBLOW","6","DKNAK",2021,4,490.62,"MAR"
"64","BEANR","5","CRMOB",2022,12,6505.87,"MAR"
"65","CMDLA","3","CRMOB",2018,4,5674.38,"MAR"
"66","COTRB","5","ARSPD",2021,6,5841.05,"MAR"
"67","CMDLA","5","COTRB",2018,11,5022.69,"MAR"
"68","GBSOU","3","CRMOB",2021,2,2723.03,"MAR"
"69","DKNAK","5","USNNS",2020,11,492.07,"MAR"
"70","USNNS","2","CIABJ",2022,6,1193.75,"MAR"
"71","CMDLA","9","ESSVQ",2020,10,2801.65,"MAR"
"72","USNNS","1","COTRB",2021,5,4602.61,"MAR"
"73","GHTEM","1","DKNAK",2021,12,8234.61,"MAR"
"74","CRMOB","2","GBLOW",2022,9,9835.64,"MAR"
"75","USNNS","6","BEANR",2018,1,3289.59,"MAR"
"76","ESSVQ","9","USNNS",2022,7,871.62,"MAR"
"77","ARSPD","1","SEYST",2019,4,8572.07,"MAR"
"78","GBSOU","2","BEANR",2018,2,1218.72,"MAR"
"79","COTRB","3","ARSPD",2022,3,2364.99,"MAR"
