"label","date","Type","id","color","size","value","group1","DegreeConnections"
"BEANR",2018-01-01,"All",168,"red",30,5643,"BE",8
"GBLOW",2018-01-01,"All",121,"red",30,5141,"GB",9
"SEYST",2018-01-01,"All",159,"red",30,8896,"SE",18
"ESSVQ",2018-01-01,"All",191,"red",30,2045,"ES",6
"DKNAK",2018-01-01,"All",16,"red",30,5318,"DK",9
"GBSOU",2018-01-01,"All",53,"red",30,3431,"GB",20
"GBSSS",2018-01-01,"All",22,"blue",30,8813,"GB",17
"CIABJ",2018-01-01,"All",99,"blue",30,9048,"CI",3
"CMDLA",2018-01-01,"All",86,"red",30,1186,"CM",17
"GHTEM",2018-01-01,"All",40,"red",30,9673,"GH",10
"COTRB",2018-01-01,"All",78,"red",30,5905,"CO",4
"CRMOB",2018-01-01,"All",80,"red",30,3591,"CR",11
"DOMAN",2018-01-01,"All",171,"blue",30,7306,"DO",6
"ARSPD",2018-01-01,"All",17,"red",30,5034,"AR",8
"USNNS",2018-01-01,"All",50,"red",30,3826,"US",7
"BEANR",2018-02-01,"All",131,"red",30,5228,"BE",9
"GBLOW",2018-02-01,"All",57,"red",30,8221,"GB",3
"SEYST",2018-02-01,"All",139,"red",30,6994,"SE",12
"ESSVQ",2018-02-01,"All",117,"red",30,7273,"ES",20
"DKNAK",2018-02-01,"All",78,"blue",30,5937,"DK",1
"GBSOU",2018-02-01,"All",126,"blue",30,9503,"GB",15
"GBSSS",2018-02-01,"All",181,"blue",30,6704,"GB",1
"CIABJ",2018-02-01,"All",59,"red",30,6278,"CI",16
"CMDLA",2018-02-01,"All",158,"red",30,4533,"CM",18
"GHTEM",2018-02-01,"All",88,"red",30,3693,"GH",10
"COTRB",2018-02-01,"All",195,"blue",30,5851,"CO",14
"CRMOB",2018-02-01,"All",1,"red",30,9622,"CR",18
"DOMAN",2018-02-01,"All",173,"blue",30,6269,"DO",4
"ARSPD",2018-02-01,"All",142,"red",30,1794,"AR",18
"USNNS",2018-02-01,"All",90,"red",30,9847,"US",17
"BEANR",2018-03-01,"All",16,"red",30,7825,"BE",16
"GBLOW",2018-03-01,"All",48,"blue",30,4420,"GB",1
"SEYST",2018-03-01,"All",139,"red",30,3586,"SE",9
"ESSVQ",2018-03-01,"All",81,"red",30,1995,"ES",20
"DKNAK",2018-03-01,"All",97,"red",30,8481,"DK",6
"GBSOU",2018-03-01,"All",17,"blue",30,430,"GB",9
"GBSSS",2018-03-01,"All",172,"red",30,6965,"GB",9
"CIABJ",2018-03-01,"All",103,"blue",30,8033,"CI",14
"CMDLA",2018-03-01,"All",7,"red",30,8480,"CM",2
"GHTEM",2018-03-01,"All",175,"blue",30,7829,"GH",16
"COTRB",2018-03-01,"All",119,"blue",30,6948,"CO",20
"CRMOB",2018-03-01,"All",6,"red",30,4712,"CR",10
"DOMAN",2018-03-01,"All",103,"red",30,8399,"DO",1
"ARSPD",2018-03-01,"All",125,"blue",30,8309,"AR",9
"USNNS",2018-03-01,"All",87,"red",30,9568,"US",5
"BEANR",2018-04-01,"All",6,"blue",30,2014,"BE",11
"GBLOW",2018-04-01,"All",82,"red",30,5059,"GB",1
"SEYST",2018-04-01,"All",29,"red",30,4913,"SE",17
"ESSVQ",2018-04-01,"All",77,"red",30,253,"ES",15
"DKNAK",2018-04-01,"All",21,"red",30,7733,"DK",11
"GBSOU",2018-04-01,"All",164,"blue",30,3104,"GB",11
"GBSSS",2018-04-01,"All",96,"blue",30,6804,"GB",10
"CIABJ",2018-04-01,"All",61,"red",30,7202,"CI",13
"CMDLA",2018-04-01,"All",147,"blue",30,5354,"CM",18
"GHTEM",2018-04-01,"All",83,"blue",30,2143,"GH",6
"COTRB",2018-04-01,"All",55,"blue",30,8445,"CO",8
"CRMOB",2018-04-01,"All",195,"blue",30,4743,"CR",17
"DOMAN",2018-04-01,"All",6,"red",30,864,"DO",4
"ARSPD",2018-04-01,"All",138,"blue",30,5427,"AR",19
"USNNS",2018-04-01,"All",125,"blue",30,3857,"US",16
"BEANR",2018-05-01,"All",71,"blue",30,6239,"BE",19
"GBLOW",2018-05-01,"All",109,"blue",30,127,"GB",9
"SEYST",2018-05-01,"All",178,"blue",30,7875,"SE",9
"ESSVQ",2018-05-01,"All",20,"blue",30,4769,"ES",12
"DKNAK",2018-05-01,"All",75,"red",30,1221,"DK",5
"GBSOU",2018-05-01,"All",106,"red",30,7155,"GB",9
"GBSSS",2018-05-01,"All",181,"red",30,24,"GB",13
"CIABJ",2018-05-01,"All",20,"blue",30,392,"CI",12
"CMDLA",2018-05-01,"All",72,"blue",30,2306,"CM",3
"GHTEM",2018-05-01,"All",188,"blue",30,8840,"GH",5
"COTRB",2018-05-01,"All",189,"red",30,5446,"CO",19
"CRMOB",2018-05-01,"All",168,"red",30,1836,"CR",12
"DOMAN",2018-05-01,"All",147,"blue",30,2584,"DO",4
"ARSPD",2018-05-01,"All",81,"red",30,7642,"AR",9
"USNNS",2018-05-01,"All",172,"blue",30,3753,"US",11
"BEANR",2018-06-01,"All",171,"blue",30,4630,"BE",3
"GBLOW",2018-06-01,"All",195,"red",30,788,"GB",13
"SEYST",2018-06-01,"All",195,"blue",30,2132,"SE",8
"ESSVQ",2018-06-01,"All",93,"blue",30,7430,"ES",4
"DKNAK",2018-06-01,"All",26,"blue",30,162,"DK",15
"GBSOU",2018-06-01,"All",38,"blue",30,1511,"GB",7
"GBSSS",2018-06-01,"All",57,"red",30,4824,"GB",20
"CIABJ",2018-06-01,"All",153,"blue",30,6151,"CI",15
"CMDLA",2018-06-01,"All",125,"blue",30,9819,"CM",15
"GHTEM",2018-06-01,"All",21,"red",30,268,"GH",7
"COTRB",2018-06-01,"All",31,"blue",30,9536,"CO",16
"CRMOB",2018-06-01,"All",92,"red",30,1181,"CR",2
"DOMAN",2018-06-01,"All",199,"blue",30,2256,"DO",18
"ARSPD",2018-06-01,"All",108,"blue",30,9090,"AR",19
"USNNS",2018-06-01,"All",22,"blue",30,2268,"US",1
"BEANR",2018-07-01,"All",103,"red",30,8991,"BE",15
"GBLOW",2018-07-01,"All",128,"red",30,4923,"GB",19
"SEYST",2018-07-01,"All",153,"blue",30,2305,"SE",17
